"dB"      "codedlen"      "PLR" using |A|=1000
3    4400  0.00372
3    4500  0.00268
3    4600  0.00181
3    4700  0.00151
3    4800  0.00133
3    4900  0.00102
3    5000  0.00076
3    5100  0.00064
3    5200  0.00048
3    5300  0.00038
3    5400  0.0003
3    5500  0.00014
3    5600  0.00015
3    5700  0.00012
3    5800  0.00012
3    5900  0.0001
3    6000  4e-05
3    6100  7e-05
3    6200  1e-05
3    6300  2e-05
3    6400  0
3    6500  2e-05
3    6600  2e-05
3    6700  1e-05
3    6800  0
3    6900  0
3    7000  0
3    7100  0
3    7200  0
3    7300  0
3    7400  0
3    7500  0
3    7600  1e-05
3    7700  0
3    7800  1e-05
3    7900  0
3    8000  0
3    8100  0
3    8200  0
3    8300  0
3    8400  0
3    8500  0
3    8600  0
3    8700  0
3    8800  0
3    8900  0
3    9000  0
3    9100  0
3    9200  0
3    9300  0
3    9400  0
3    9500  0
3    9600  0
3    9700  0
4    1000  1
3    9800  0
4    1100  1
3    9900  0
4    1200  1
4    1300  1
4    1400  1
4    1500  1
4    1600  1
4    1700  0.99999
4    1800  0.99939
4    1900  0.98943
4    2000  0.95077
4    2100  0.86246
4    2200  0.73836
4    2300  0.59331
4    2400  0.43633
4    2500  0.3074
4    2600  0.21912
4    2700  0.14955
4    2900  0.06614
4    2800  0.0994
4    3000  0.04511
4    3100  0.03094
4    3200  0.02165
4    3300  0.01599
4    3400  0.01211
4    3500  0.0086
4    3600  0.00621
4    3700  0.00449
4    3900  0.00251
4    3800  0.00313
4    4100  0.00111
4    4000  0.00158
4    4200  0.00092
4    4400  0.00044
4    4300  0.00078
4    4500  0.00028
4    4600  0.00015
4    4700  0.0001
4    4900  8e-05
4    4800  0.00015
4    5000  2e-05
4    5100  8e-05
4    5200  5e-05
4    5300  3e-05
4    5400  1e-05
4    5500  0
4    5600  0
4    5700  0
4    5900  0
4    5800  0
4    6000  0
4    6100  2e-05
4    6200  0
4    6300  0
4    6400  0
4    6500  0
4    6600  0
4    6700  0
4    6800  0
4    6900  1e-05
4    7000  0
4    7100  0
4    7200  0
4    7300  0
4    7400  0
4    7500  0
4    7600  0
4    7700  0
4    7800  0
4    7900  0
4    8000  0
4    8100  0
4    8200  0
4    8300  0
4    8400  0
4    8500  0
4    8600  0
4    8700  0
4    8800  0
4    8900  0
4    9000  0
4    9100  0
4    9200  0
4    9300  0
4    9400  0
4    9500  0
4    9600  0
4    9700  0
5    1000  1
4    9800  0
4    9900  0
5    1100  1
5    1200  1
5    1300  1
5    1400  1
5    1500  1
5    1600  0.99987
5    1700  0.99414
5    1800  0.94567
5    1900  0.80545
5    2000  0.63487
5    2100  0.4736
5    2200  0.3356
5    2300  0.23496
5    2400  0.14718
5    2500  0.08983
5    2600  0.0589
5    2700  0.03874
5    2800  0.02258
5    2900  0.01338
5    3000  0.00871
5    3100  0.00553
5    3200  0.00399
5    3300  0.00257
5    3400  0.002
5    3500  0.00091
5    3600  0.00068
5    3700  0.00072
5    3800  0.00047
5    3900  0.00041
5    4000  0.00024
5    4100  8e-05
5    4200  0.00014
5    4300  8e-05
5    4400  6e-05
5    4500  3e-05
5    4600  2e-05
5    4700  6e-05
5    4800  1e-05
5    4900  1e-05
5    5000  1e-05
5    5100  0
5    5200  0
5    5300  0
5    5400  0
5    5500  0
5    5600  0
5    5700  0
5    5800  0
5    5900  0
5    6000  0
5    6100  0
5    6200  0
5    6300  0
5    6400  0
5    6500  0
5    6600  0
5    6700  0
5    6800  0
5    6900  0
5    7000  0
5    7100  0
5    7200  0
5    7300  0
5    7400  0
5    7500  0
5    7600  0
5    7700  0
5    7800  0
5    7900  0
5    8000  0
5    8100  0
5    8200  0
5    8300  0
5    8400  0
5    8500  0
5    8600  0
5    8700  0
5    8800  0
5    8900  0
5    9000  0
5    9100  0
5    9200  0
5    9300  0
5    9400  0
5    9500  0
5    9600  0
5    9700  0
6    1000  1
5    9800  0
5    9900  0
6    1100  1
6    1200  1
6    1300  1
6    1400  1
6    1500  0.99924
