"dB"      "codedlen"      "PLR" using |A|=1000
-2    2200  1
-2    2300  1
-2    2400  1
-2    2500  1
-2    2600  1
-2    2700  1
-2    2800  1
-2    2900  1
-2    3000  1
-2    3100  1
-2    3200  1
-2    3300  1
-2    3400  1
-2    3500  1
-2    3600  1
-2    3700  1
-2    3800  1
-2    3900  1
-2    4000  1
-2    4100  1
-2    4200  1
-2    4300  0.999667
-2    4400  0.999667
-2    4500  0.999667
-2    4600  0.998
-2    4700  0.997333
-2    4800  0.995
-2    4900  0.99
-2    5000  0.988
-2    5100  0.976667
-2    5200  0.960333
-2    5300  0.944667
-2    5400  0.923
-2    5500  0.873333
-2    5600  0.859
-2    5700  0.839
-2    5800  0.815667
-2    5900  0.791667
-2    6000  0.774
-2    6100  0.736333
-2    6200  0.687
-2    6300  0.622667
-2    6400  0.498667
-2    6500  0.532667
-2    6600  0.460667
-2    6700  0.479667
-2    6800  0.462333
-2    6900  0.402
-2    7000  0.351667
-2    7100  0.347333
-2    7200  0.333333
-2    7300  0.214667
-2    7400  0.272667
-2    7500  0.238333
-2    7600  0.235667
-2    7700  0.18
-2    7800  0.186667
-2    7900  0.168333
-2    8000  0.169667
-2    8100  0.160333
-2    8200  0.0716667
-2    8300  0.121333
-2    8400  0.122
-2    8500  0.0913333
-2    8600  0.0906667
-2    8700  0.069
-2    8800  0.0743333
-2    8900  0.0756667
-2    9000  0.0696667
-2    9100  0.0266667
-2    9200  0.0816667
-2    9300  0.0986667
-2    9400  0.0836667
-2    9500  0.063
-2    9600  0.0396667
-2    9700  0.0366667
-2    9800  0.0256667
-1.5    1000  1
-2    9900  0.0193333
-1.5    1100  1
-1.5    1200  1
-1.5    1300  1
-1.5    1400  1
-1.5    1500  1
-1.5    1600  1
-1.5    1700  1
-1.5    1800  1
-1.5    1900  1
-1.5    2000  1
-1.5    2100  1
-1.5    2200  1
-1.5    2300  1
-1.5    2400  1
-1.5    2500  1
-1.5    2600  1
-1.5    2700  1
-1.5    2800  1
-1.5    2900  1
-1.5    3000  1
-1.5    3100  1
-1.5    3200  1
-1.5    3300  1
-1.5    3400  1
-1.5    3500  1
-1.5    3600  1
-1.5    3700  1
-1.5    3800  1
-1.5    3900  1
-1.5    4000  0.999667
-1.5    4100  0.999667
-1.5    4200  0.998667
-1.5    4300  0.996667
-1.5    4400  0.992
-1.5    4500  0.986333
-1.5    4600  0.978
-1.5    4700  0.964667
